"Annee","Mois","Mesures"
"2013","8","12"
"2013","7","31"
"2013","6","30"
"2013","5","31"
"2013","4","30"
"2013","3","31"
"2013","2","28"
"2013","1","31"
"2012","12","31"
"2012","11","30"
"2012","10","31"
"2012","9","30"
"2012","8","31"
"2012","7","31"
"2012","6","30"
"2012","5","31"
"2012","4","30"
"2012","3","31"
"2012","2","29"
"2012","1","31"
"2011","12","31"
"2011","11","30"
"2011","10","31"
"2011","9","21"
"2011","8","8"
"2011","7","31"
"2011","6","30"
"2011","5","31"
"2011","4","30"
"2011","3","31"
"2011","2","28"
"2011","1","29"
"2010","12","31"
"2010","11","30"
"2010","10","27"
"2010","9","24"
"2010","8","14"
"2010","6","7"
"2010","5","31"
"2010","4","30"
"2010","3","31"
"2010","2","28"
"2010","1","31"
"2009","12","31"
"2009","11","30"
"2009","10","31"
"2009","9","6"
"2009","8","24"
"2009","7","31"
"2009","6","20"
"2009","1","7"
"2008","12","31"
"2008","11","30"
"2008","10","22"
"2008","9","26"
"2008","8","12"
"2008","7","31"
"2008","6","30"
"2008","5","31"
"2008","4","30"
"2008","3","31"
"2008","2","23"
"2008","1","28"
"2007","12","31"
"2007","11","30"
"2007","10","31"
"2007","9","30"
"2007","8","31"
"2007","7","31"
"2007","6","20"
"2007","5","1"
"2007","4","30"
"2007","3","31"
"2007","2","10"
"2006","12","3"
"2006","11","30"
"2006","10","27"
"2006","9","30"
"2006","8","31"
"2006","7","31"
"2006","6","30"
"2006","5","31"
"2006","4","28"
"2006","3","30"
"2006","2","28"
"2006","1","31"
"2005","12","30"
"2005","11","30"
"2005","10","31"
"2005","9","30"
"2005","8","31"
"2005","7","31"
"2005","6","30"
"2005","5","31"
"2005","4","29"
"2005","3","2"
"2004","11","12"
"2004","10","16"
"2004","9","14"


